return_id,order_id,product_id,return_reason,return_datetime,refund_amount
R00000045,O00000701,P00706,Damaged,2025-07-15 04:04:06,64664.95
R00000046,O00000715,P00346,Wrong item,2024-09-04 01:04:18,274708.08
R00000047,O00000716,P00561,Damaged,2024-11-19 22:22:42,317433.76
R00000048,O00000734,P00530,Wrong item,2025-04-16 02:29:29,178.34
R00000049,O00000736,P00139,Wrong item,2024-12-10 15:30:39,247.83
R00000050,O00000740,P00030,Damaged,2024-08-28 07:33:46,930.14
R00000051,O00000742,P00702,Not as described,2024-11-09 14:18:47,136145.39
R00000052,O00000749,P00246,Wrong item,2025-05-11 04:47:51,1104.45
R00000053,O00000760,P00799,Damaged,2025-03-12 22:08:00,508970.67
R00000054,O00000761,P00687,Buyer remorse,2025-06-20 00:13:30,118704.37
R00000055,O00000764,P00439,Buyer remorse,2025-01-08 10:13:24,169460.79
R00000056,O00000789,P00256,Damaged,2025-01-13 23:31:42,2103.12
R00000057,O00000799,P00306,Buyer remorse,2025-04-16 03:30:16,145225.44
R00000058,O00000811,P00140,Buyer remorse,2025-03-06 09:15:08,1028.68
R00000059,O00000814,P00019,Damaged,2025-08-17 13:17:35,492037.83
R00000060,O00000817,P00705,Buyer remorse,2025-07-14 06:49:36,778.27
R00000061,O00000843,P00560,Wrong item,2024-12-31 11:44:45,380.55
R00000062,O00000846,P00658,Damaged,2025-08-12 11:36:08,6624.45
R00000063,O00000848,P00358,Damaged,2024-11-30 03:09:34,2619.51
R00000064,O00000889,P00683,Wrong item,2025-01-08 20:11:26,22452.28
R00000065,O00000935,P00273,Wrong item,2025-04-15 22:22:50,901.23
R00000066,O00000937,P00301,Buyer remorse,2025-04-05 22:34:56,3321.44
R00000067,O00001012,P00694,Damaged,2024-09-21 06:45:58,1535.46
R00000068,O00001027,P00525,Damaged,2024-10-03 08:47:15,99285.0
R00000069,O00001045,P00013,Not as described,2024-12-29 15:26:50,3478.28
R00000070,O00001062,P00200,Not as described,2025-01-28 01:24:13,2511.89
R00000071,O00001095,P00386,Not as described,2025-02-08 01:09:31,1874.87
R00000072,O00001182,P00097,Wrong item,2025-03-19 09:52:33,416.29
R00000073,O00001193,P00121,Not as described,2024-12-04 12:52:13,464444.42
R00000074,O00001228,P00633,Not as described,2025-07-23 00:48:25,47066.09
R00000075,O00001256,P00371,Buyer remorse,2025-01-12 07:20:36,97294.37
R00000076,O00001275,P00474,Buyer remorse,2024-11-11 06:57:55,401.87
R00000077,O00001288,P00057,Damaged,2025-02-08 02:54:13,2605.29
R00000078,O00001299,P00587,Wrong item,2025-08-06 08:57:11,3967.42
R00000079,O00001300,P00078,Damaged,2024-11-18 12:30:41,50759.15
R00000080,O00001322,P00498,Damaged,2025-01-24 04:43:26,103193.71
R00000081,O00001329,P00111,Damaged,2025-01-30 02:55:27,5314.45
R00000082,O00001345,P00063,Damaged,2025-04-07 14:00:43,336733.85
R00000083,O00001350,P00394,Buyer remorse,2025-08-14 05:18:23,6155.13
R00000084,O00001352,P00081,Damaged,2025-05-27 08:25:55,2322.22
R00000085,O00001354,P00006,Damaged,2025-08-19 07:21:24,388406.14
R00000086,O00001365,P00604,Not as described,2025-07-22 19:58:57,195405.34
R00000087,O00001367,P00015,Not as described,2025-06-23 22:21:24,133609.0
R00000088,O00001374,P00560,Damaged,2024-11-30 09:35:16,88261.09
R00000089,O00001375,P00670,Wrong item,2025-02-19 20:27:14,456322.62
R00000090,O00001378,P00602,Buyer remorse,2024-10-15 08:03:29,489.43
R00000091,O00001380,P00508,Buyer remorse,2025-06-03 19:11:58,23324.81
R00000092,O00001384,P00560,Damaged,2024-10-17 07:46:28,2650.02
R00000093,O00001403,P00712,Wrong item,2024-10-12 05:56:34,926.43
R00000094,O00001419,P00465,Not as described,2024-12-06 09:22:35,2551.77
R00000095,O00001439,P00736,Not as described,2025-04-25 15:19:30,36355.07
R00000096,O00001449,P00713,Damaged,2025-01-20 19:22:06,297025.14
R00000097,O00001464,P00030,Buyer remorse,2024-09-05 10:15:03,40278.87
R00000098,O00001470,P00456,Wrong item,2025-04-13 16:21:53,739.85
R00000099,O00001483,P00184,Wrong item,2025-02-28 16:30:10,5865.04
R00000100,O00001509,P00365,Not as described,2024-10-14 17:21:55,356673.96
R00000101,O00001512,P00666,Not as described,2024-10-11 02:39:37,2633.23
R00000102,O00001516,P00794,Damaged,2024-12-30 05:24:01,130137.82
R00000103,O00001535,P00216,Damaged,2024-12-22 05:52:34,1409.05
R00000104,O00001536,P00395,Not as described,2025-07-19 14:32:43,3056.67
R00000105,O00001587,P00066,Wrong item,2025-04-13 07:38:53,2687.29
R00000106,O00001591,P00328,Damaged,2025-06-19 14:21:12,22215.47
R00000107,O00001596,P00090,Wrong item,2025-02-25 13:54:29,1222.78
R00000108,O00001607,P00680,Wrong item,2025-08-26 13:14:06,1281.48
R00000109,O00001618,P00523,Not as described,2025-05-20 20:52:30,2745.5
R00000110,O00001643,P00355,Buyer remorse,2024-12-20 03:47:49,1802.91
R00000111,O00001652,P00681,Damaged,2025-07-22 12:57:35,5039.14
R00000112,O00001653,P00467,Damaged,2025-02-26 18:53:00,2295.39
R00000113,O00001657,P00552,Buyer remorse,2024-11-28 07:01:02,85013.63
R00000114,O00001663,P00419,Damaged,2024-12-07 21:47:00,34017.49
R00000115,O00001683,P00187,Not as described,2025-02-24 23:00:27,1834.66
R00000116,O00001686,P00627,Damaged,2024-12-19 23:51:28,2652.07
R00000117,O00001688,P00636,Not as described,2025-06-25 08:10:14,21.59
R00000118,O00001727,P00769,Wrong item,2024-11-05 01:41:52,2389.51
R00000119,O00001731,P00422,Not as described,2025-04-02 17:45:15,454.19
R00000120,O00001741,P00209,Damaged,2025-08-17 12:15:06,3730.71
R00000121,O00001771,P00084,Damaged,2025-05-12 11:26:08,4325.54
R00000122,O00001786,P00675,Not as described,2025-03-27 19:52:26,1349.84
R00000123,O00001788,P00247,Buyer remorse,2025-04-09 09:00:25,536.12
R00000124,O00001795,P00148,Wrong item,2024-12-03 20:15:46,3297.53
R00000125,O00001799,P00515,Buyer remorse,2025-01-24 21:01:25,5488.51
R00000126,O00001800,P00597,Buyer remorse,2024-11-27 22:03:27,118265.22
R00000127,O00001804,P00772,Damaged,2025-01-17 14:17:46,47.02
R00000128,O00001825,P00283,Damaged,2025-06-24 04:35:00,419.55
R00000129,O00001845,P00788,Damaged,2025-06-16 14:25:42,375.94
R00000130,O00001873,P00069,Not as described,2024-12-30 11:48:39,2042.68
R00000131,O00001882,P00366,Not as described,2025-07-03 09:42:33,910.79
R00000132,O00001884,P00343,Wrong item,2025-02-07 09:15:25,490.41
R00000133,O00001899,P00651,Damaged,2025-04-05 14:12:46,965602.67
R00000134,O00001916,P00357,Buyer remorse,2025-04-21 16:18:38,152512.48
R00000135,O00001980,P00320,Not as described,2024-12-08 13:16:53,1851.42
R00000136,O00001992,P00675,Damaged,2025-02-03 03:25:09,159168.92
R00000137,O00002002,P00707,Buyer remorse,2025-07-16 14:01:33,922.21
R00000138,O00002022,P00267,Wrong item,2025-07-11 00:44:39,23606.04
R00000139,O00002050,P00682,Buyer remorse,2024-09-23 03:29:22,4532.16
R00000140,O00002068,P00705,Wrong item,2024-10-30 02:25:16,2325.31
R00000141,O00002074,P00407,Not as described,2025-03-12 21:27:48,1453.61
R00000142,O00002088,P00787,Buyer remorse,2025-06-26 05:39:16,97.86
R00000143,O00002096,P00130,Damaged,2025-06-11 15:56:43,3131.68
R00000144,O00002106,P00058,Damaged,2024-12-14 20:53:04,6104.51
R00000145,O00002145,P00285,Damaged,2025-06-05 01:05:24,3309.13
R00000146,O00002172,P00425,Wrong item,2025-01-14 10:09:44,141745.16
R00000147,O00002178,P00118,Wrong item,2025-06-17 06:33:08,5014.19
R00000148,O00002189,P00784,Not as described,2025-04-25 05:57:22,2603.6
R00000149,O00002201,P00077,Wrong item,2025-02-04 17:32:33,582.23
R00000150,O00002202,P00747,Buyer remorse,2025-06-20 13:41:11,208240.66
R00000151,O00002203,P00031,Damaged,2025-02-18 22:15:35,19910.54
R00000152,O00002250,P00583,Wrong item,2024-10-19 12:23:22,896.25
R00000153,O00002311,P00214,Wrong item,2024-10-17 13:42:51,2429.34
R00000154,O00002314,P00081,Not as described,2024-10-30 07:58:20,1194.78
R00000155,O00002317,P00787,Damaged,2025-01-06 12:25:09,216.06
R00000156,O00002331,P00755,Buyer remorse,2024-11-11 01:13:18,421457.68
R00000157,O00002393,P00777,Damaged,2025-03-09 01:20:49,566123.57
R00000158,O00002400,P00704,Not as described,2024-10-24 22:06:08,1185.45
R00000159,O00002455,P00560,Wrong item,2025-05-03 07:07:40,1613.04
R00000160,O00002456,P00657,Damaged,2025-08-12 10:21:02,5866.04
R00000161,O00002466,P00232,Damaged,2024-10-07 16:13:58,5753.22
R00000162,O00002485,P00678,Wrong item,2024-10-07 10:38:27,1051.48
R00000163,O00002508,P00446,Damaged,2024-12-25 05:52:05,35904.05
R00000164,O00002554,P00764,Wrong item,2025-05-04 13:41:19,41339.67
R00000165,O00002574,P00570,Buyer remorse,2025-01-11 07:27:11,912.86
R00000166,O00002580,P00435,Buyer remorse,2025-07-26 11:40:01,225568.71
R00000167,O00002596,P00207,Wrong item,2025-03-15 15:44:49,2493.51
R00000168,O00002616,P00431,Wrong item,2024-10-14 15:13:16,4872.29
R00000169,O00002621,P00207,Buyer remorse,2025-03-14 19:57:45,1792.13
R00000170,O00002633,P00446,Damaged,2025-04-15 02:17:00,21109.09
R00000171,O00002635,P00458,Damaged,2025-04-29 18:16:32,6912.19
R00000172,O00002652,P00186,Damaged,2025-08-09 13:22:38,192758.43
R00000173,O00002653,P00206,Buyer remorse,2025-04-14 01:53:13,665.26
R00000174,O00002654,P00636,Wrong item,2025-06-17 23:45:27,2040.44
R00000175,O00002664,P00505,Buyer remorse,2025-04-06 01:40:25,2243.9
R00000176,O00002679,P00627,Not as described,2025-08-07 21:39:58,4247.61
R00000177,O00002686,P00444,Damaged,2025-03-24 18:18:47,2061.44
R00000178,O00002700,P00123,Damaged,2025-07-21 03:14:43,285471.33
R00000179,O00002715,P00572,Buyer remorse,2024-12-16 20:15:29,757.73
R00000180,O00002724,P00203,Buyer remorse,2024-10-17 03:48:20,431.49
R00000181,O00002729,P00326,Not as described,2024-09-04 19:15:10,79.31
R00000182,O00002742,P00137,Wrong item,2025-04-20 06:15:09,202.21
R00000183,O00002761,P00147,Not as described,2025-06-01 03:44:04,298.66
R00000184,O00002762,P00333,Wrong item,2025-08-06 04:09:31,377264.48
R00000185,O00002765,P00140,Not as described,2024-09-07 07:35:27,36063.69
R00000186,O00002767,P00481,Buyer remorse,2024-08-28 23:57:45,2056.55
R00000187,O00002793,P00703,Damaged,2024-11-17 13:38:15,262568.68
R00000188,O00002810,P00416,Wrong item,2025-05-11 02:00:54,243283.9
R00000189,O00002823,P00301,Damaged,2025-06-13 08:07:23,308410.99
R00000190,O00002830,P00748,Damaged,2024-10-09 22:35:50,687.62
R00000191,O00002852,P00660,Damaged,2024-12-14 11:28:49,3261.33
R00000192,O00002854,P00430,Damaged,2024-11-08 11:58:07,781.04
R00000193,O00002874,P00355,Buyer remorse,2025-08-03 21:09:42,815.67
R00000194,O00002881,P00754,Buyer remorse,2025-06-22 16:04:02,6653.43
R00000195,O00002896,P00584,Not as described,2025-02-27 14:31:55,849.94
R00000196,O00002900,P00409,Not as described,2025-07-26 09:19:16,1175.86
R00000197,O00002915,P00592,Damaged,2025-07-14 20:23:20,949.29
R00000198,O00002917,P00331,Not as described,2024-12-03 07:29:31,2892.41
R00000199,O00002941,P00257,Wrong item,2025-05-10 07:20:52,240000.43
R00000200,O00002959,P00472,Damaged,2025-08-13 03:49:33,765.04
R00000201,O00002977,P00333,Wrong item,2025-05-29 04:34:28,8560.25
R00000202,O00002979,P00309,Damaged,2025-06-05 07:27:36,1712.06
R00000203,O00002987,P00010,Wrong item,2024-09-30 07:08:56,54128.29
R00000204,O00003026,P00143,Wrong item,2025-06-29 13:27:28,169889.93
R00000205,O00003073,P00412,Not as described,2025-04-17 18:37:02,106.68
R00000206,O00003080,P00127,Not as described,2025-07-13 06:17:34,1040.2
R00000207,O00003096,P00723,Damaged,2025-06-16 11:33:08,4480.02
R00000208,O00003102,P00440,Not as described,2025-03-04 01:33:28,1266.07
R00000209,O00003111,P00375,Wrong item,2025-06-03 00:33:31,1455.25
R00000210,O00003117,P00750,Damaged,2024-09-03 19:02:11,52560.32
R00000211,O00003129,P00124,Buyer remorse,2025-05-27 14:29:44,8259.37
R00000212,O00003145,P00075,Buyer remorse,2025-07-26 04:44:51,202.28
R00000213,O00003156,P00531,Damaged,2025-01-09 17:03:34,2189.06
R00000214,O00003169,P00278,Wrong item,2025-08-17 11:48:29,427665.58
R00000215,O00003201,P00102,Damaged,2025-06-28 07:20:56,4916.72
R00000216,O00003213,P00774,Buyer remorse,2025-07-25 11:18:31,8838.34
R00000217,O00003219,P00161,Buyer remorse,2024-11-07 14:16:17,3507.4
R00000218,O00003221,P00600,Buyer remorse,2025-02-13 23:28:22,515428.79
R00000219,O00003222,P00141,Wrong item,2025-06-14 16:20:22,36.35
R00000220,O00003250,P00751,Not as described,2025-04-22 00:49:24,4188.99
R00000221,O00003252,P00727,Wrong item,2025-04-23 11:45:48,3517.48
R00000222,O00003255,P00039,Buyer remorse,2025-02-09 04:33:08,17947.98
R00000223,O00003258,P00218,Buyer remorse,2025-08-11 07:47:47,236.67
R00000224,O00003292,P00762,Damaged,2025-04-04 09:44:40,193715.85
R00000225,O00003311,P00520,Buyer remorse,2024-10-24 20:08:04,9225.05
R00000226,O00003342,P00100,Not as described,2025-03-12 13:12:37,730.24
R00000227,O00003352,P00329,Damaged,2024-09-13 08:54:18,3011.52
R00000228,O00003377,P00490,Wrong item,2024-12-29 19:56:01,385.03
R00000229,O00003411,P00240,Damaged,2024-09-16 23:15:24,496037.39
R00000230,O00003417,P00705,Buyer remorse,2025-02-13 21:12:32,5609.53
R00000231,O00003419,P00736,Buyer remorse,2024-11-06 23:06:12,2287.69
R00000232,O00003422,P00019,Not as described,2025-08-27 02:44:15,2394.18
R00000233,O00003429,P00544,Damaged,2025-08-08 22:11:49,215.21
R00000234,O00003438,P00454,Damaged,2025-02-27 19:28:11,326424.6
R00000235,O00003468,P00308,Not as described,2024-10-18 17:49:06,236143.81
R00000236,O00003470,P00315,Damaged,2025-01-18 19:44:55,1140.3
R00000237,O00003492,P00596,Damaged,2025-08-09 07:26:36,247.21
R00000238,O00003495,P00799,Damaged,2025-08-15 14:25:45,2477.92
R00000239,O00003503,P00732,Not as described,2025-03-10 05:06:23,1761.66
R00000240,O00003514,P00635,Damaged,2025-01-13 10:36:08,1548.59
R00000241,O00003524,P00355,Not as described,2024-12-18 11:22:27,328212.0
R00000242,O00003554,P00085,Buyer remorse,2025-07-23 03:35:30,1613.36
R00000243,O00003563,P00146,Buyer remorse,2025-03-13 12:45:24,695.13
R00000244,O00003565,P00763,Not as described,2025-05-19 15:47:02,852.65
R00000245,O00003589,P00669,Damaged,2024-09-11 00:22:26,2174.11
R00000246,O00003632,P00754,Wrong item,2025-04-12 10:02:47,2768.49
R00000247,O00003654,P00070,Buyer remorse,2025-08-06 23:20:44,6900.97
R00000248,O00003691,P00258,Buyer remorse,2024-11-11 08:57:05,1702.34
R00000249,O00003700,P00119,Damaged,2025-03-10 21:24:24,1295.11
R00000250,O00003722,P00629,Wrong item,2025-01-24 11:23:16,40431.09
R00000251,O00003736,P00324,Not as described,2024-10-02 02:39:57,255467.67
R00000252,O00003763,P00121,Not as described,2024-10-28 12:25:06,7237.84
R00000253,O00003768,P00586,Buyer remorse,2024-12-10 08:56:34,7085.95
R00000254,O00003777,P00502,Not as described,2025-05-03 00:11:04,172817.48
R00000255,O00003791,P00016,Damaged,2025-05-22 04:29:19,57260.19
R00000256,O00003804,P00800,Not as described,2025-06-29 00:07:47,29469.31
R00000257,O00003822,P00320,Damaged,2025-08-12 21:53:00,1546.36
R00000258,O00003824,P00095,Damaged,2025-08-19 21:49:10,159.27
R00000259,O00003838,P00195,Buyer remorse,2025-04-13 02:31:17,586.66
R00000260,O00003868,P00094,Wrong item,2024-11-07 19:23:37,87458.35
R00000261,O00003871,P00137,Wrong item,2025-08-20 01:09:50,189.78
R00000262,O00003879,P00518,Buyer remorse,2025-01-06 12:15:40,1366.21
R00000263,O00003887,P00123,Not as described,2024-11-09 16:06:35,3812.11
R00000264,O00003896,P00693,Wrong item,2025-07-09 19:30:41,460.06
R00000265,O00003924,P00217,Not as described,2025-06-15 16:43:40,3030.94
R00000266,O00003936,P00661,Wrong item,2025-04-22 20:36:58,465.2
R00000267,O00003946,P00309,Buyer remorse,2024-08-28 16:00:57,471.55
R00000268,O00003975,P00680,Not as described,2024-10-29 07:55:28,1728.05
R00000269,O00003979,P00385,Damaged,2025-05-09 21:46:35,404974.69
R00000270,O00003985,P00145,Buyer remorse,2025-06-07 07:58:01,1500.9
R00000271,O00003988,P00326,Buyer remorse,2025-05-04 00:43:49,1159.36
R00000272,O00004035,P00663,Damaged,2024-09-03 22:20:15,145.12
R00000273,O00004046,P00523,Not as described,2025-01-01 09:26:34,137444.34
R00000274,O00004079,P00701,Damaged,2024-10-24 15:52:13,5057.31
R00000275,O00004108,P00429,Damaged,2025-03-07 12:07:47,1207.09
R00000276,O00004113,P00349,Buyer remorse,2025-08-17 16:38:54,2253.96
R00000277,O00004121,P00257,Wrong item,2025-08-19 02:24:22,5138.75
R00000278,O00004152,P00512,Damaged,2025-02-17 06:09:27,5292.34
R00000279,O00004154,P00407,Not as described,2025-01-31 23:20:29,1162.82
R00000280,O00004155,P00737,Damaged,2025-01-04 14:16:59,3080.96
R00000281,O00004161,P00049,Not as described,2024-10-21 10:22:23,244562.59
R00000282,O00004172,P00502,Wrong item,2025-05-13 02:45:31,1994.14
R00000283,O00004174,P00401,Damaged,2025-02-28 15:34:45,570299.03
R00000284,O00004186,P00495,Damaged,2024-12-28 06:05:40,1433.12
R00000285,O00004197,P00558,Damaged,2024-09-15 02:09:41,105272.69
R00000286,O00004206,P00772,Damaged,2025-03-07 11:12:17,340.1
R00000287,O00004211,P00283,Buyer remorse,2025-01-27 08:45:34,52023.7
R00000288,O00004212,P00267,Wrong item,2025-02-14 22:52:20,547.66
R00000289,O00004218,P00398,Buyer remorse,2025-07-14 13:37:27,1313.22
R00000290,O00004253,P00496,Wrong item,2025-03-04 18:00:24,2353.87
R00000291,O00004254,P00505,Buyer remorse,2025-05-10 12:13:51,259017.49
R00000292,O00004255,P00664,Not as described,2025-02-13 18:56:27,64687.26
R00000293,O00004260,P00517,Buyer remorse,2024-11-08 03:15:23,3798.87
R00000294,O00004272,P00798,Not as described,2025-01-24 15:09:17,214351.31
R00000295,O00004303,P00740,Buyer remorse,2024-12-21 16:09:42,557.33
R00000296,O00004327,P00196,Wrong item,2025-03-01 03:44:56,1990.53
R00000297,O00004339,P00210,Damaged,2025-03-14 23:16:02,1408.46
R00000298,O00004389,P00278,Buyer remorse,2024-10-06 15:54:58,1951.25
R00000299,O00004428,P00106,Wrong item,2025-05-30 19:11:01,33497.45
R00000300,O00004431,P00680,Buyer remorse,2024-10-07 15:24:41,43893.59
R00000301,O00004435,P00327,Damaged,2025-03-26 18:39:21,100081.75
R00000302,O00004441,P00009,Buyer remorse,2024-11-20 22:54:37,1729.94
R00000303,O00004445,P00222,Not as described,2024-10-14 03:46:19,2857.04
R00000304,O00004459,P00164,Damaged,2025-02-13 08:39:07,1692.26
R00000305,O00004464,P00736,Not as described,2025-04-01 02:32:50,1038.55
R00000306,O00004465,P00507,Buyer remorse,2025-02-24 11:56:15,1796.61
R00000307,O00004473,P00470,Buyer remorse,2025-02-20 00:50:45,1287.08
R00000308,O00004479,P00758,Not as described,2024-10-31 02:52:28,152.51
R00000309,O00004496,P00616,Damaged,2025-01-22 08:16:23,43850.01
R00000310,O00004529,P00545,Buyer remorse,2024-10-23 06:29:40,2121.64
R00000311,O00004531,P00626,Damaged,2025-04-12 01:11:41,478.39
R00000312,O00004533,P00587,Not as described,2024-09-11 01:46:07,2040.08
R00000313,O00004567,P00408,Buyer remorse,2024-09-02 03:51:42,3340.49
R00000314,O00004574,P00228,Damaged,2024-10-06 20:59:18,275419.7
R00000315,O00004579,P00094,Buyer remorse,2024-11-19 09:38:12,378441.55
R00000316,O00004618,P00485,Buyer remorse,2024-11-02 13:32:31,1171.76
R00000317,O00004630,P00275,Damaged,2024-12-08 14:59:20,80312.72
R00000318,O00004636,P00420,Damaged,2025-07-06 11:06:19,2112.01
R00000319,O00004637,P00149,Damaged,2025-01-27 22:35:28,534879.24
R00000320,O00004655,P00357,Buyer remorse,2025-01-18 07:13:04,74555.71
R00000321,O00004675,P00335,Not as described,2025-01-31 06:59:49,26151.82
R00000322,O00004685,P00740,Buyer remorse,2024-10-15 13:00:34,530.11
R00000323,O00004744,P00248,Wrong item,2025-08-02 10:51:11,2245.54
R00000324,O00004751,P00623,Damaged,2025-01-25 12:19:08,1554.86
R00000325,O00004779,P00256,Not as described,2025-01-05 07:10:20,5683.72
R00000326,O00004791,P00188,Buyer remorse,2025-03-12 06:02:09,4369.45
R00000327,O00004805,P00548,Damaged,2025-04-15 01:54:11,157980.89
R00000328,O00004860,P00188,Wrong item,2025-03-13 05:05:05,3121.27
R00000329,O00004884,P00548,Wrong item,2025-06-22 00:48:43,215245.75
R00000330,O00004887,P00634,Wrong item,2025-05-18 17:39:56,5469.2
R00000331,O00004903,P00038,Wrong item,2025-04-25 20:09:51,1250.7
R00000332,O00004904,P00582,Not as described,2024-09-17 15:32:08,703.05
R00000333,O00004907,P00684,Damaged,2024-12-02 19:00:20,158383.11
R00000334,O00004924,P00126,Not as described,2025-06-10 16:18:43,2207.32
R00000335,O00004930,P00183,Buyer remorse,2025-06-24 21:43:21,3783.49
R00000336,O00004936,P00024,Damaged,2025-01-29 16:02:25,101.5
R00000337,O00004943,P00764,Wrong item,2024-12-27 10:20:03,50379.74
R00000338,O00005060,P00322,Wrong item,2025-05-11 16:08:41,122089.66
R00000339,O00005066,P00358,Buyer remorse,2025-04-10 21:49:03,2706.02
R00000340,O00005079,P00091,Not as described,2024-12-24 14:20:19,12609.55
R00000341,O00005100,P00491,Buyer remorse,2024-10-07 01:13:45,945.12
R00000342,O00005166,P00746,Not as described,2025-07-19 19:27:26,814.59
R00000343,O00005168,P00214,Not as described,2025-05-19 04:16:06,156198.1
R00000344,O00005181,P00370,Not as described,2025-05-27 18:02:42,2060.03
R00000345,O00005184,P00727,Not as described,2025-05-19 12:54:47,1802.33
R00000346,O00005191,P00771,Not as described,2024-09-29 15:05:24,3464.98
R00000347,O00005197,P00562,Buyer remorse,2025-07-08 18:56:17,1297.59
R00000348,O00005216,P00258,Not as described,2025-03-13 00:27:15,208766.45
R00000349,O00005229,P00607,Not as described,2025-08-24 12:03:03,2601.57
R00000350,O00005266,P00199,Damaged,2024-12-04 10:32:24,56.92
R00000351,O00005274,P00638,Wrong item,2024-10-27 17:49:11,1661.92
R00000352,O00005280,P00116,Buyer remorse,2025-01-21 23:32:55,4951.73
R00000353,O00005282,P00478,Not as described,2024-09-30 09:16:40,1985.19
R00000354,O00005321,P00319,Buyer remorse,2024-12-13 05:01:22,766.05
R00000355,O00005335,P00553,Buyer remorse,2024-10-04 07:12:19,1078.26
R00000356,O00005350,P00167,Not as described,2025-06-01 16:44:57,1050.54
R00000357,O00005378,P00199,Buyer remorse,2024-12-16 20:42:47,473.68
R00000358,O00005403,P00537,Not as described,2025-08-01 16:25:23,2569.36
R00000359,O00005409,P00742,Not as described,2025-01-28 18:00:28,713708.77
R00000360,O00005418,P00089,Damaged,2024-09-13 08:52:27,6996.18
R00000361,O00005419,P00771,Buyer remorse,2025-05-29 01:56:39,323025.16
R00000362,O00005426,P00498,Not as described,2025-01-14 05:01:10,127321.79
R00000363,O00005438,P00469,Damaged,2024-09-19 22:12:33,361226.91
R00000364,O00005461,P00680,Wrong item,2025-01-30 18:02:20,386.21
R00000365,O00005480,P00792,Not as described,2025-06-06 08:56:44,171374.04
R00000366,O00005526,P00481,Buyer remorse,2024-08-25 00:49:25,2843.52
R00000367,O00005527,P00135,Damaged,2024-10-26 00:17:40,81059.64
R00000368,O00005530,P00307,Wrong item,2024-11-11 03:27:56,1757.89
R00000369,O00005534,P00713,Damaged,2024-11-28 19:08:05,2785.65
