order_id,customer_id,order_datetime,order_timezone,total_amount,currency,status,warehouse_id,shipping_delay_hours
O00000069,C03829,2024-09-10 01:51:25,America/New_York,1118153.32,INR,cancelled,W004,16
O00000070,C04926,2025-05-22 00:31:35,America/New_York,13751.51,EUR,placed,W003,5
O00000071,C02276,2024-12-12 03:00:10,Europe/London,21485.02,AUD,delivered,W003,13
O00000072,C04755,2024-11-06 02:58:02,Asia/Singapore,34555.43,CAD,shipped,W002,24
O00000073,C02084,2025-01-09 20:37:26,Europe/Berlin,25726.88,CAD,placed,W001,20
O00000074,C04528,2024-08-15 12:57:22,UTC,6878.85,GBP,cancelled,W007,0
O00000075,C01929,2025-01-29 17:50:51,Europe/Berlin,590536.68,INR,shipped,W002,22
O00000076,C02726,2025-04-17 22:40:38,Asia/Kolkata,19426.1,AUD,shipped,W008,0
O00000077,C02504,2024-09-01 01:21:33,Asia/Singapore,1122842.47,INR,delivered,W006,14
O00000078,C03092,2024-11-19 00:56:44,America/New_York,14259.13,CAD,returned,W003,5
O00000079,C00971,2025-03-27 14:06:46,America/Los_Angeles,4162.09,EUR,delivered,W004,20
O00000080,C01196,2025-04-11 14:35:25,Asia/Kolkata,6411.84,USD,delivered,W006,11
O00000081,C03142,2024-12-05 13:08:12,America/Los_Angeles,15782.0,AUD,delivered,W007,8
O00000082,C01470,2025-08-05 06:29:01,Asia/Kolkata,394731.66,INR,delivered,W007,21
O00000083,C01048,2025-03-26 10:55:51,Europe/Berlin,9333.33,GBP,delivered,W003,0
O00000084,C03605,2025-06-03 12:53:52,America/New_York,5326.49,USD,delivered,W007,41
O00000085,C04595,2025-03-16 14:31:23,Asia/Singapore,9284.54,GBP,delivered,W004,0
O00000086,C00630,2025-04-02 16:28:58,UTC,8684.24,EUR,shipped,W002,0
O00000087,C03720,2024-12-21 19:32:14,UTC,7561.6,AUD,placed,W005,10
O00000088,C03268,2024-10-07 15:46:23,America/New_York,717486.66,INR,delivered,W003,15
O00000089,C02541,2025-04-28 01:22:16,Asia/Kolkata,26475.57,AUD,delivered,W007,22
O00000090,C01271,2025-03-29 13:26:41,Asia/Singapore,8316.16,GBP,placed,W002,18
O00000091,C03384,2024-12-22 13:13:26,Europe/Berlin,6596.65,USD,delivered,W001,29
O00000092,C03686,2025-04-17 17:08:56,Europe/Berlin,1262238.23,JPY,placed,W002,22
O00000093,C03319,2025-02-03 01:09:04,America/New_York,17617.11,CAD,delivered,W004,16
O00000094,C04413,2025-05-07 02:34:29,America/New_York,2384.92,EUR,delivered,W002,6
O00000095,C03974,2025-01-19 05:54:00,America/Los_Angeles,2701.16,GBP,delivered,W007,13
O00000096,C03406,2025-05-16 15:44:12,UTC,21989.07,CAD,delivered,W002,12
O00000097,C03878,2024-09-06 02:11:28,America/Los_Angeles,12112.4,USD,delivered,W006,29
O00000098,C02404,2025-03-16 10:57:55,America/Los_Angeles,13139.4,AUD,delivered,W002,2
O00000099,C04562,2024-10-23 18:56:22,America/New_York,5040.69,USD,shipped,W001,15
O00000100,C01836,2024-11-10 19:21:58,Asia/Singapore,8379.88,GBP,cancelled,W008,3
O00000101,C04995,2024-11-19 04:34:33,Asia/Singapore,2172.58,CAD,shipped,W002,27
O00000102,C04145,2025-02-10 02:36:51,America/Los_Angeles,3095.22,GBP,shipped,W004,0
O00000103,C03881,2024-12-04 21:18:10,UTC,756501.68,INR,delivered,W007,13
O00000104,C04229,2025-07-18 11:05:08,Asia/Kolkata,9201.21,CAD,shipped,W001,6
O00000105,C01237,2024-11-29 13:57:05,Asia/Kolkata,18383.82,JPY,delivered,W005,10
O00000106,C01204,2025-07-29 11:13:48,Asia/Singapore,17012.86,AUD,delivered,W003,3
O00000107,C04192,2024-12-28 14:56:26,America/Los_Angeles,1076907.38,JPY,delivered,W007,16
O00000108,C04158,2025-04-05 21:22:38,Europe/London,37249.17,INR,delivered,W001,11
O00000109,C04765,2025-07-18 11:28:10,UTC,1768179.4,JPY,delivered,W007,15
O00000110,C03026,2025-07-12 00:01:47,America/New_York,34365.44,AUD,shipped,W002,13
O00000111,C01285,2024-11-22 05:01:04,Europe/Berlin,750542.62,JPY,returned,W005,11
O00000112,C01767,2025-01-03 03:26:19,Europe/Berlin,9992.25,EUR,delivered,W003,14
O00000113,C03686,2025-06-03 13:58:27,Europe/Berlin,25748.84,AUD,delivered,W003,8
O00000114,C04583,2025-03-25 02:03:05,Europe/London,6395.26,USD,delivered,W001,0
O00000115,C00156,2025-01-17 11:32:10,Asia/Kolkata,496855.01,INR,placed,W001,8
O00000116,C02107,2024-11-12 13:54:29,America/New_York,3536.28,USD,shipped,W002,17
O00000117,C00483,2024-11-27 08:52:21,Europe/Berlin,1014302.97,JPY,shipped,W002,19
O00000118,C04133,2024-09-22 19:11:07,America/New_York,1311.16,GBP,delivered,W002,14
O00000119,C00153,2025-05-28 01:35:06,Asia/Singapore,172318.32,INR,shipped,W004,1
O00000120,C00005,2024-12-05 16:26:26,Europe/London,7988.23,USD,delivered,W002,9
O00000121,C03539,2025-08-03 15:44:18,Europe/London,17630.53,EUR,delivered,W001,11
O00000122,C04006,2025-05-27 19:46:30,America/Los_Angeles,18122.89,CAD,delivered,W003,11
O00000123,C01581,2025-03-05 14:58:16,Europe/London,12.05,GBP,delivered,W006,18
O00000124,C04046,2025-03-13 16:38:59,America/Los_Angeles,417576.68,INR,delivered,W004,29
O00000125,C02273,2025-07-10 18:45:26,Asia/Singapore,1311679.41,JPY,delivered,W005,3
O00000126,C00425,2025-03-03 20:35:19,Europe/Berlin,12326.43,CAD,shipped,W005,0
O00000127,C03211,2025-03-25 17:28:14,Asia/Kolkata,7797.23,EUR,delivered,W002,22
O00000128,C02052,2025-06-16 02:35:38,Asia/Singapore,719.3,EUR,delivered,W006,13
O00000129,C04915,2025-05-30 15:43:56,Asia/Kolkata,698867.65,JPY,shipped,W008,24
O00000130,C04582,2024-09-20 14:10:36,America/New_York,6355.62,USD,delivered,W007,16
O00000131,C00213,2024-09-26 03:52:24,Asia/Kolkata,8852.16,GBP,shipped,W001,20
O00000132,C02550,2024-11-30 11:43:42,America/Los_Angeles,1754942.63,JPY,shipped,W002,15
O00000133,C03829,2025-02-08 02:32:39,America/New_York,653457.36,JPY,cancelled,W004,8
O00000134,C02716,2025-07-12 09:39:52,Europe/London,10220.14,CAD,delivered,W006,1
O00000135,C01427,2025-04-22 16:55:24,America/Los_Angeles,3277.82,EUR,cancelled,W001,14
O00000136,C01723,2024-11-10 13:00:47,Europe/London,1142658.32,INR,cancelled,W004,7
O00000137,C02605,2024-08-12 07:48:58,UTC,1052842.62,JPY,delivered,W008,13
O00000138,C01372,2025-04-22 18:22:11,Asia/Kolkata,1769757.35,JPY,delivered,W001,15
O00000139,C01921,2025-03-26 16:02:52,America/Los_Angeles,3711.96,GBP,delivered,W002,14
O00000140,C00338,2025-05-03 01:12:17,America/New_York,12129.05,GBP,shipped,W002,15
O00000141,C02952,2025-04-02 12:23:01,UTC,11593.97,USD,shipped,W006,14
O00000142,C00098,2024-09-10 04:53:30,Europe/Berlin,6231.51,GBP,delivered,W004,2
O00000143,C03594,2025-03-31 08:15:03,Asia/Kolkata,6466.64,GBP,delivered,W005,11
O00000144,C02706,2024-10-25 14:45:15,America/Los_Angeles,1836480.9,JPY,delivered,W003,13
O00000145,C00220,2024-09-23 21:54:11,Asia/Singapore,1468.83,EUR,shipped,W001,10
O00000146,C00908,2025-04-29 12:07:55,Asia/Kolkata,15177.25,EUR,delivered,W008,13
O00000147,C03652,2025-03-01 05:33:16,Europe/London,9818.89,USD,delivered,W005,0
O00000148,C03540,2024-09-25 05:48:46,America/New_York,9059.01,GBP,delivered,W002,23
O00000149,C04043,2025-03-16 20:26:44,Asia/Kolkata,11956.01,GBP,delivered,W004,10
O00000150,C03804,2024-10-15 19:02:07,Europe/London,7240.3,GBP,shipped,W007,12
O00000151,C02239,2025-06-14 14:04:31,Asia/Singapore,6229.34,EUR,placed,W007,14
O00000152,C03455,2025-02-05 06:56:49,America/New_York,2078.76,USD,shipped,W002,0
O00000153,C03406,2024-10-27 23:04:55,UTC,30397.05,JPY,shipped,W004,21
O00000154,C02922,2024-08-27 00:41:39,Asia/Singapore,537030.0,INR,shipped,W005,7
O00000155,C01791,2025-05-10 03:20:33,Asia/Kolkata,4262.3,GBP,delivered,W003,4
O00000156,C02746,2024-10-16 17:03:53,Asia/Singapore,16869.26,USD,delivered,W001,24
O00000157,C01243,2025-06-10 07:18:53,Asia/Singapore,4199.16,GBP,delivered,W005,4
O00000158,C02364,2025-04-30 07:20:30,Europe/London,6118.59,CAD,shipped,W001,28
O00000159,C01823,2025-04-11 19:26:56,UTC,1500460.31,JPY,shipped,W003,0
O00000160,C03827,2025-08-10 10:20:10,America/Los_Angeles,304311.66,INR,delivered,W004,1
O00000161,C02946,2024-11-18 13:02:29,Europe/London,8590.26,GBP,cancelled,W003,6
O00000162,C03074,2025-07-25 17:08:50,Asia/Singapore,2118517.65,JPY,delivered,W008,9
O00000163,C00319,2024-10-04 11:32:26,Europe/Berlin,15002.99,USD,delivered,W007,11
O00000164,C00232,2024-12-11 07:18:42,UTC,11218.01,AUD,delivered,W003,4
O00000165,C03149,2025-06-29 23:02:21,Europe/London,4215.69,GBP,delivered,W006,15
O00000166,C00053,2025-03-03 14:43:43,UTC,6927.81,EUR,delivered,W004,4
O00000167,C03692,2025-03-02 18:42:52,UTC,437932.36,JPY,cancelled,W007,0
O00000168,C02402,2024-11-18 22:44:05,Europe/London,2922.01,USD,delivered,W001,20
O00000169,C03078,2024-09-17 09:12:08,America/Los_Angeles,2735579.43,JPY,shipped,W006,24
O00000170,C01138,2025-03-10 15:04:46,America/New_York,16220.31,USD,delivered,W001,0
O00000171,C04971,2024-09-28 00:56:23,Asia/Singapore,5589.32,GBP,delivered,W005,28
O00000172,C03950,2025-02-10 11:37:54,Europe/London,8725.67,AUD,returned,W002,0
O00000173,C04719,2025-03-06 08:28:19,Europe/London,28745.82,CAD,delivered,W004,11
O00000174,C04727,2025-05-29 07:46:58,Europe/London,817.69,AUD,shipped,W007,7
O00000175,C01035,2024-11-20 21:45:21,America/Los_Angeles,1605100.01,JPY,delivered,W002,9
O00000176,C04056,2025-04-02 09:07:52,America/Los_Angeles,881578.33,INR,delivered,W005,31
O00000177,C04489,2024-08-17 14:48:33,America/Los_Angeles,12106.86,GBP,cancelled,W007,19
O00000178,C02491,2024-08-16 06:31:28,Asia/Singapore,6163.4,GBP,shipped,W004,17
O00000179,C04716,2025-06-10 11:35:46,UTC,7342.6,USD,returned,W003,16
O00000180,C00279,2024-10-01 13:56:22,Asia/Singapore,9853.98,USD,delivered,W002,10
O00000181,C03647,2024-09-06 01:24:16,Asia/Singapore,112299.17,INR,delivered,W004,24
O00000182,C00775,2025-04-02 06:12:23,Europe/Berlin,13521.43,CAD,delivered,W008,13
O00000183,C01017,2025-05-30 05:04:23,Europe/London,1877.93,CAD,delivered,W006,15
O00000184,C02104,2025-01-15 06:43:22,Asia/Kolkata,527.73,CAD,delivered,W003,15
O00000185,C00379,2025-04-15 23:46:34,Europe/Berlin,857788.24,JPY,delivered,W001,12
O00000186,C04933,2025-04-09 01:32:30,Europe/London,1142822.06,JPY,shipped,W007,18
O00000187,C02083,2025-05-22 13:01:06,America/Los_Angeles,11866.19,AUD,shipped,W007,0
O00000188,C00902,2024-10-31 14:21:52,America/New_York,13099.48,AUD,shipped,W002,29
O00000189,C04824,2025-06-04 20:51:24,Europe/London,7538.25,CAD,delivered,W007,6
O00000190,C01036,2024-11-11 16:52:30,Europe/London,15852.76,EUR,delivered,W005,12
O00000191,C01875,2025-03-07 16:20:14,America/New_York,255256.68,INR,delivered,W002,18
O00000192,C02342,2025-07-31 05:35:14,America/Los_Angeles,1936098.54,JPY,delivered,W007,15
O00000193,C04327,2025-07-31 08:53:50,Europe/Berlin,14495.16,AUD,delivered,W004,21
O00000194,C02169,2025-04-04 02:09:27,Europe/Berlin,4461.24,EUR,delivered,W001,0
O00000195,C00472,2025-06-19 22:42:43,UTC,613300.0,INR,delivered,W001,2
O00000196,C04031,2024-11-02 13:56:15,America/Los_Angeles,3476.22,EUR,cancelled,W001,24
O00000197,C03856,2025-06-08 09:22:20,America/Los_Angeles,9958.64,GBP,delivered,W007,32
O00000198,C00330,2025-05-02 07:21:40,America/Los_Angeles,19651.17,EUR,delivered,W006,12
O00000199,C03186,2024-11-21 05:51:58,UTC,1499.79,EUR,delivered,W001,12
O00000200,C04892,2025-03-18 01:38:50,Asia/Singapore,9562.56,AUD,delivered,W007,4
O00000201,C01531,2024-12-05 04:44:01,America/Los_Angeles,4500.98,EUR,delivered,W002,8
O00000202,C01219,2025-07-01 14:23:34,America/Los_Angeles,3837.68,EUR,returned,W003,0
O00000203,C03337,2025-03-29 21:17:17,Europe/Berlin,801745.59,JPY,shipped,W005,26
O00000204,C00005,2025-02-03 22:14:06,Europe/London,2978.9,USD,delivered,W002,6
O00000205,C01068,2024-09-11 04:02:09,Europe/London,731046.64,INR,shipped,W002,23
O00000206,C01561,2024-10-03 23:30:52,Europe/London,10013.37,EUR,delivered,W005,24
O00000207,C00962,2024-10-03 19:40:11,America/Los_Angeles,4946.32,GBP,returned,W001,15
O00000208,C04056,2024-09-03 00:53:47,America/Los_Angeles,25687.07,AUD,placed,W008,18
O00000209,C02486,2024-12-17 03:09:12,Europe/Berlin,6940.94,CAD,shipped,W001,0
O00000210,C00423,2025-05-29 02:40:53,UTC,2221.14,AUD,cancelled,W005,0
O00000211,C02416,2025-03-07 23:29:56,Europe/London,125964.17,INR,shipped,W005,23
O00000212,C03130,2025-05-23 18:54:32,Europe/Berlin,8942.96,AUD,shipped,W007,35
O00000213,C01487,2024-11-22 17:33:32,America/New_York,3832.12,GBP,placed,W003,25
O00000214,C00591,2025-08-09 14:12:03,America/Los_Angeles,3145.34,GBP,delivered,W002,0
O00000215,C00112,2025-04-13 13:47:49,America/New_York,3805.78,CAD,shipped,W001,12
O00000216,C00697,2024-09-01 06:54:55,Asia/Kolkata,10860.29,EUR,shipped,W005,10
O00000217,C00365,2024-11-22 04:00:00,America/Los_Angeles,7277.12,USD,delivered,W002,0
O00000218,C02734,2024-10-03 06:01:00,Asia/Singapore,8425.14,USD,shipped,W005,13
O00000219,C00852,2025-03-26 07:56:34,Asia/Kolkata,1087495.83,INR,delivered,W008,13
O00000220,C02647,2024-10-26 15:44:42,Asia/Kolkata,2646.36,EUR,returned,W006,7
O00000221,C04373,2025-06-04 01:29:02,Asia/Kolkata,7106.9,GBP,returned,W002,20
O00000222,C01727,2025-03-26 18:06:22,Asia/Singapore,7704.18,CAD,placed,W007,15
O00000223,C04765,2024-12-23 14:45:23,UTC,6076.99,USD,delivered,W003,11
O00000224,C03638,2024-09-01 02:26:42,America/New_York,777.01,CAD,delivered,W001,0
O00000225,C00090,2025-06-21 08:05:54,America/New_York,8422.84,GBP,shipped,W004,9
O00000226,C04957,2025-01-09 06:15:33,America/New_York,575.08,CAD,delivered,W007,13
O00000227,C03476,2025-07-31 15:08:42,America/New_York,3632.47,EUR,shipped,W001,12
O00000228,C01969,2024-11-24 02:38:48,Asia/Singapore,95584.17,INR,delivered,W001,3
O00000229,C00070,2025-04-23 13:58:57,Europe/Berlin,713879.99,INR,delivered,W002,0
O00000230,C00307,2024-08-11 13:52:47,America/Los_Angeles,428776.65,INR,shipped,W004,11
O00000231,C01320,2024-10-04 16:24:34,UTC,1719047.07,JPY,delivered,W008,13
O00000232,C03726,2025-06-19 17:26:20,Asia/Singapore,527495.01,INR,shipped,W008,12
O00000233,C03622,2024-10-28 13:25:48,Europe/London,9997.88,AUD,delivered,W003,0
O00000234,C03385,2024-09-16 09:47:07,America/Los_Angeles,824189.72,JPY,delivered,W002,16
O00000235,C02859,2025-06-24 23:17:22,Europe/London,11048.18,GBP,returned,W008,15
O00000236,C01749,2025-03-01 05:08:38,Europe/London,1660348.35,INR,shipped,W007,27
O00000237,C03439,2025-02-27 09:54:05,Asia/Kolkata,702322.07,JPY,delivered,W005,16
O00000238,C01317,2025-05-25 03:57:52,Europe/London,14416.47,AUD,delivered,W003,19
O00000239,C03330,2025-04-15 18:19:10,Asia/Singapore,986051.67,INR,shipped,W004,37
O00000240,C00133,2025-01-21 23:25:00,Asia/Singapore,418978.33,INR,delivered,W006,4
O00000241,C01450,2024-08-25 05:33:59,America/New_York,981975.01,JPY,delivered,W002,4
O00000242,C01736,2025-05-30 02:05:07,America/Los_Angeles,10335.32,EUR,delivered,W004,3
O00000243,C02167,2025-02-19 16:06:11,Europe/Berlin,1055762.51,INR,returned,W007,13
O00000244,C03199,2025-06-29 22:58:38,Europe/Berlin,6250.04,AUD,delivered,W002,38
O00000245,C02132,2025-03-29 19:50:56,Europe/Berlin,12245.33,CAD,delivered,W006,17
O00000246,C02010,2024-11-03 02:10:49,Europe/London,12192.32,AUD,cancelled,W002,25
O00000247,C01480,2025-02-09 08:59:39,UTC,2164.26,USD,shipped,W002,9
O00000248,C03440,2025-04-26 15:27:55,America/Los_Angeles,4357.97,GBP,delivered,W006,12
O00000249,C01298,2025-05-14 20:24:55,Europe/London,299838.23,JPY,delivered,W004,17
O00000250,C02193,2025-05-07 07:05:51,UTC,1012277.49,INR,shipped,W005,13
O00000251,C04814,2025-04-26 08:38:19,America/Los_Angeles,755736.68,INR,shipped,W006,2
O00000252,C00527,2025-04-08 14:32:26,UTC,7651.41,GBP,shipped,W006,2
O00000253,C00596,2025-06-30 12:51:23,Europe/Berlin,8768.65,EUR,delivered,W006,22
O00000254,C01782,2024-10-09 14:56:55,Asia/Singapore,13839.06,USD,shipped,W002,4
O00000255,C04843,2025-03-25 03:31:28,Asia/Kolkata,2745.25,GBP,shipped,W007,24
O00000256,C00569,2024-12-20 01:23:53,Europe/Berlin,2652.51,GBP,delivered,W007,14
O00000257,C00386,2025-07-31 02:38:12,Asia/Kolkata,5802.71,GBP,placed,W001,32
O00000258,C00722,2025-02-10 01:39:55,UTC,7967.19,EUR,delivered,W005,36
O00000259,C03110,2025-01-27 20:17:52,America/New_York,483606.66,INR,delivered,W007,2
O00000260,C04015,2025-01-12 22:12:52,Asia/Kolkata,899506.69,INR,delivered,W004,0
O00000261,C00494,2025-04-01 21:17:49,Europe/Berlin,1446.76,EUR,delivered,W008,17
O00000262,C02568,2024-12-21 03:09:09,Asia/Singapore,9185.03,CAD,delivered,W004,16
O00000263,C01346,2024-09-14 19:56:17,Asia/Kolkata,6315.66,AUD,delivered,W008,9
O00000264,C01234,2025-05-07 21:43:37,Asia/Kolkata,10415.92,GBP,delivered,W008,16
O00000265,C02040,2024-08-27 06:38:14,UTC,6125.88,USD,delivered,W005,14
O00000266,C01802,2025-02-11 22:50:23,Asia/Kolkata,18929.62,AUD,shipped,W008,25
O00000267,C02582,2025-03-12 21:14:26,Europe/London,3905.5,AUD,delivered,W001,6
O00000268,C01399,2025-04-30 12:51:51,America/New_York,899.52,AUD,delivered,W008,2
O00000269,C00143,2024-09-18 04:39:20,Europe/London,1054019.13,JPY,delivered,W005,8
O00000270,C02734,2025-07-11 20:42:25,Asia/Singapore,944064.72,JPY,delivered,W004,5
O00000271,C04464,2025-01-14 23:58:33,America/Los_Angeles,18009.22,GBP,delivered,W006,5
O00000272,C01231,2024-09-05 13:23:03,Asia/Kolkata,650852.93,JPY,shipped,W002,37
O00000273,C02060,2025-03-27 19:21:17,America/Los_Angeles,8970.96,EUR,cancelled,W005,14
O00000274,C03462,2025-03-09 09:43:09,UTC,1656.63,GBP,shipped,W007,23
O00000275,C01141,2024-10-25 14:21:35,UTC,9455.36,AUD,shipped,W008,2
O00000276,C02567,2024-10-28 13:23:17,America/Los_Angeles,1472142.63,JPY,delivered,W003,9
O00000277,C03057,2025-07-31 21:10:58,America/Los_Angeles,12756.15,EUR,returned,W002,9
O00000278,C04185,2024-12-19 15:38:59,America/Los_Angeles,3960.38,AUD,delivered,W008,15
O00000279,C01268,2024-09-13 06:49:07,Europe/Berlin,429547.5,INR,shipped,W002,12
O00000280,C00456,2025-05-20 16:29:39,Asia/Kolkata,10802.52,USD,delivered,W007,16
O00000281,C01972,2025-05-20 12:08:27,Europe/Berlin,16090.08,EUR,delivered,W001,10
O00000282,C03642,2025-01-24 22:33:46,Asia/Kolkata,14479.67,USD,delivered,W004,16
O00000283,C00515,2025-02-05 09:05:58,Europe/Berlin,873.69,EUR,delivered,W007,29
O00000284,C01478,2024-08-31 03:56:49,America/New_York,1991494.15,JPY,delivered,W006,19
O00000285,C00864,2024-12-17 02:15:15,America/New_York,10508.36,EUR,delivered,W008,0
O00000286,C04024,2025-03-18 18:01:49,America/New_York,4962.44,GBP,delivered,W001,32
O00000287,C00590,2024-08-15 18:00:41,America/Los_Angeles,454580.0,INR,delivered,W003,15
O00000288,C01042,2025-08-06 13:02:03,Asia/Singapore,9754.48,CAD,shipped,W005,1
O00000289,C04242,2024-12-06 17:02:45,Asia/Singapore,1620626.44,JPY,delivered,W006,25
O00000290,C04620,2024-12-08 11:24:40,America/New_York,227041.18,JPY,delivered,W002,5
O00000291,C00342,2024-09-20 04:10:43,Asia/Kolkata,3597.36,USD,delivered,W005,16
O00000292,C01608,2025-07-21 22:40:41,Europe/Berlin,2580582.36,JPY,delivered,W001,0
